repeat,outer_seed,cat_id,age_group,call_count,outer_fold
1,130363,005A,adult,9,3
1,130363,006A,adult,3,0
1,130363,007A,adult,6,2
1,130363,008A,senior,5,1
1,130363,009A,adult,4,1
1,130363,010A,adult,3,2
1,130363,011A,senior,2,1
1,130363,012A,adult,3,2
1,130363,013B,adult,8,0
1,130363,014A,adult,3,1
1,130363,014B,kitten,10,1
1,130363,015A,senior,7,3
1,130363,016A,senior,9,3
1,130363,018A,adult,2,1
1,130363,019A,adult,17,2
1,130363,019B,adult,1,3
1,130363,020A,adult,20,3
1,130363,021A,adult,5,2
1,130363,022A,adult,9,3
1,130363,023A,adult,6,1
1,130363,023B,adult,4,0
1,130363,024A,senior,1,0
1,130363,025A,senior,10,2
1,130363,025B,adult,2,3
1,130363,025C,senior,4,2
1,130363,026A,adult,4,1
1,130363,026B,adult,1,1
1,130363,026C,adult,1,3
1,130363,027A,adult,7,1
1,130363,028A,senior,11,0
1,130363,029A,adult,15,0
1,130363,031A,adult,7,2
1,130363,032A,adult,2,2
1,130363,033A,adult,9,1
1,130363,034A,adult,3,0
1,130363,035A,adult,2,0
1,130363,036A,adult,7,0
1,130363,037A,adult,2,3
1,130363,038A,adult,2,0
1,130363,039A,senior,6,3
1,130363,040A,kitten,10,0
1,130363,041A,kitten,1,3
1,130363,042A,kitten,11,2
1,130363,043A,kitten,1,0
1,130363,044A,kitten,5,1
1,130363,045A,kitten,4,3
1,130363,046A,kitten,45,2
1,130363,047A,kitten,22,3
1,130363,048A,kitten,1,0
1,130363,050A,kitten,5,2
1,130363,051A,senior,12,0
1,130363,051B,senior,9,0
1,130363,052A,adult,2,3
1,130363,053A,senior,3,2
1,130363,054A,senior,2,0
1,130363,055A,senior,12,2
1,130363,056A,senior,3,0
1,130363,057A,senior,17,2
1,130363,058A,senior,3,1
1,130363,059A,senior,10,2
1,130363,060A,senior,3,3
1,130363,061A,senior,2,3
1,130363,062A,adult,3,2
1,130363,063A,adult,11,1
1,130363,064A,adult,1,2
1,130363,065A,adult,9,0
1,130363,066A,adult,1,3
1,130363,067A,adult,11,2
1,130363,068A,adult,8,2
1,130363,069A,adult,2,1
1,130363,070A,adult,5,1
1,130363,071A,adult,9,3
1,130363,072A,adult,9,1
1,130363,073A,adult,1,0
1,130363,074A,adult,16,0
1,130363,075A,adult,5,2
1,130363,076A,adult,1,0
1,130363,087A,adult,2,0
1,130363,088A,adult,1,3
1,130363,090A,senior,1,1
1,130363,091A,senior,1,3
1,130363,092A,adult,1,3
1,130363,093A,senior,2,0
1,130363,094A,senior,5,2
1,130363,095A,adult,7,1
1,130363,096A,adult,1,2
1,130363,097A,senior,15,2
1,130363,097B,adult,14,2
1,130363,099A,adult,6,0
1,130363,100A,adult,1,3
1,130363,101A,senior,12,3
1,130363,102A,adult,2,0
1,130363,103A,senior,33,0
1,130363,104A,senior,4,1
1,130363,105A,adult,3,3
1,130363,106A,senior,13,3
1,130363,108A,senior,5,3
1,130363,109A,kitten,5,2
1,130363,110A,kitten,1,1
1,130363,111A,kitten,12,0
1,130363,113A,senior,3,1
1,130363,115A,kitten,1,1
1,130363,116A,senior,12,2
1,130363,117A,senior,7,1
2,155921,000A,adult,39,3
2,155921,000B,adult,19,0
2,155921,001A,senior,9,0
2,155921,002A,adult,13,1
2,155921,002B,adult,30,2
2,155921,003A,adult,4,2
2,155921,004A,adult,1,3
2,155921,005A,adult,9,0
2,155921,006A,adult,3,0
2,155921,007A,adult,6,3
2,155921,008A,senior,5,0
2,155921,009A,adult,4,0
2,155921,010A,adult,3,0
2,155921,011A,senior,2,1
2,155921,012A,adult,3,3
2,155921,013B,adult,8,1
2,155921,014A,adult,3,2
2,155921,014B,kitten,10,3
2,155921,015A,senior,7,1
2,155921,016A,senior,9,1
2,155921,018A,adult,2,1
2,155921,019A,adult,17,1
2,155921,019B,adult,1,1
2,155921,020A,adult,20,1
2,155921,021A,adult,5,3
2,155921,022A,adult,9,0
2,155921,023A,adult,6,0
2,155921,023B,adult,4,1
2,155921,024A,senior,1,0
2,155921,025A,senior,10,3
2,155921,025B,adult,2,3
2,155921,025C,senior,4,3
2,155921,026A,adult,4,3
2,155921,026B,adult,1,1
2,155921,026C,adult,1,2
2,155921,027A,adult,7,0
2,155921,028A,senior,11,2
2,155921,029A,adult,15,3
2,155921,031A,adult,7,1
2,155921,032A,adult,2,1
2,155921,033A,adult,9,1
2,155921,034A,adult,3,0
2,155921,035A,adult,2,1
2,155921,036A,adult,7,1
2,155921,037A,adult,2,2
2,155921,038A,adult,2,1
2,155921,039A,senior,6,0
2,155921,040A,kitten,10,1
2,155921,041A,kitten,1,1
2,155921,042A,kitten,11,2
2,155921,043A,kitten,1,2
2,155921,044A,kitten,5,3
2,155921,045A,kitten,4,2
2,155921,046A,kitten,45,0
2,155921,047A,kitten,22,0
2,155921,048A,kitten,1,3
2,155921,050A,kitten,5,1
2,155921,051A,senior,12,0
2,155921,051B,senior,9,2
2,155921,052A,adult,2,1
2,155921,053A,senior,3,3
2,155921,054A,senior,2,1
2,155921,055A,senior,12,2
2,155921,056A,senior,3,3
2,155921,057A,senior,17,3
2,155921,058A,senior,3,0
2,155921,059A,senior,10,2
2,155921,060A,senior,3,0
2,155921,061A,senior,2,3
2,155921,062A,adult,3,1
2,155921,063A,adult,11,0
2,155921,064A,adult,1,3
2,155921,065A,adult,9,2
2,155921,066A,adult,1,0
2,155921,067A,adult,11,2
2,155921,068A,adult,8,2
2,155921,069A,adult,2,2
2,155921,070A,adult,5,0
2,155921,071A,adult,9,0
2,155921,072A,adult,9,2
2,155921,073A,adult,1,3
2,155921,074A,adult,16,0
2,155921,075A,adult,5,0
2,155921,076A,adult,1,2
2,155921,087A,adult,2,3
2,155921,088A,adult,1,3
2,155921,090A,senior,1,2
2,155921,091A,senior,1,3
2,155921,092A,adult,1,3
2,155921,093A,senior,2,2
2,155921,094A,senior,5,1
2,155921,095A,adult,7,2
2,155921,096A,adult,1,0
2,155921,097A,senior,15,3
2,155921,097B,adult,14,2
2,155921,099A,adult,6,2
2,155921,100A,adult,1,2
2,155921,101A,senior,12,2
2,155921,102A,adult,2,3
2,155921,103A,senior,33,1
2,155921,104A,senior,4,1
2,155921,105A,adult,3,3
2,155921,106A,senior,13,3
2,155921,108A,senior,5,0
2,155921,109A,kitten,5,1
2,155921,110A,kitten,1,0
2,155921,111A,kitten,12,0
2,155921,113A,senior,3,2
2,155921,115A,kitten,1,2
2,155921,116A,senior,12,2
2,155921,117A,senior,7,1
3,181081,000A,adult,39,2
3,181081,000B,adult,19,0
3,181081,001A,senior,9,3
3,181081,002A,adult,13,3
3,181081,002B,adult,30,1
3,181081,003A,adult,4,1
3,181081,004A,adult,1,2
3,181081,005A,adult,9,1
3,181081,006A,adult,3,3
3,181081,007A,adult,6,0
3,181081,008A,senior,5,1
3,181081,009A,adult,4,0
3,181081,010A,adult,3,1
3,181081,011A,senior,2,1
3,181081,012A,adult,3,3
3,181081,013B,adult,8,1
3,181081,014A,adult,3,0
3,181081,014B,kitten,10,1
3,181081,015A,senior,7,1
3,181081,016A,senior,9,2
3,181081,018A,adult,2,2
3,181081,019A,adult,17,3
3,181081,019B,adult,1,0
3,181081,020A,adult,20,1
3,181081,021A,adult,5,2
3,181081,022A,adult,9,2
3,181081,023A,adult,6,3
3,181081,023B,adult,4,0
3,181081,024A,senior,1,3
3,181081,025A,senior,10,2
3,181081,025B,adult,2,3
3,181081,025C,senior,4,2
3,181081,026A,adult,4,2
3,181081,026B,adult,1,2
3,181081,026C,adult,1,1
3,181081,027A,adult,7,0
3,181081,028A,senior,11,0
3,181081,029A,adult,15,3
3,181081,031A,adult,7,2
3,181081,032A,adult,2,2
3,181081,033A,adult,9,2
3,181081,034A,adult,3,1
3,181081,035A,adult,2,2
3,181081,036A,adult,7,2
3,181081,037A,adult,2,1
3,181081,038A,adult,2,3
3,181081,039A,senior,6,0
3,181081,040A,kitten,10,2
3,181081,041A,kitten,1,1
3,181081,042A,kitten,11,1
3,181081,043A,kitten,1,2
3,181081,044A,kitten,5,3
3,181081,045A,kitten,4,3
3,181081,046A,kitten,45,1
3,181081,047A,kitten,22,2
3,181081,048A,kitten,1,0
3,181081,050A,kitten,5,0
3,181081,051A,senior,12,3
3,181081,051B,senior,9,1
3,181081,052A,adult,2,0
3,181081,053A,senior,3,3
3,181081,054A,senior,2,1
3,181081,055A,senior,12,0
3,181081,056A,senior,3,1
3,181081,057A,senior,17,2
3,181081,058A,senior,3,2
3,181081,059A,senior,10,3
3,181081,060A,senior,3,2
3,181081,061A,senior,2,3
3,181081,062A,adult,3,0
3,181081,063A,adult,11,1
3,181081,064A,adult,1,3
3,181081,065A,adult,9,3
3,181081,066A,adult,1,0
3,181081,067A,adult,11,3
3,181081,068A,adult,8,0
3,181081,069A,adult,2,1
3,181081,070A,adult,5,1
3,181081,071A,adult,9,2
3,181081,072A,adult,9,0
3,181081,073A,adult,1,0
3,181081,074A,adult,16,3
3,181081,075A,adult,5,2
3,181081,076A,adult,1,0
3,181081,087A,adult,2,3
3,181081,088A,adult,1,1
3,181081,090A,senior,1,3
3,181081,091A,senior,1,3
3,181081,092A,adult,1,1
3,181081,093A,senior,2,2
3,181081,094A,senior,5,0
3,181081,095A,adult,7,3
3,181081,096A,adult,1,1
3,181081,097A,senior,15,0
3,181081,097B,adult,14,0
3,181081,099A,adult,6,1
3,181081,100A,adult,1,3
3,181081,101A,senior,12,0
3,181081,102A,adult,2,0
3,181081,103A,senior,33,0
3,181081,104A,senior,4,3
3,181081,105A,adult,3,2
3,181081,106A,senior,13,2
3,181081,108A,senior,5,0
3,181081,109A,kitten,5,0
3,181081,110A,kitten,1,3
3,181081,111A,kitten,12,2
3,181081,113A,senior,3,1
3,181081,115A,kitten,1,0
3,181081,116A,senior,12,2
3,181081,117A,senior,7,1
4,206639,000A,adult,39,3
4,206639,000B,adult,19,2
4,206639,001A,senior,9,0
4,206639,002A,adult,13,1
4,206639,002B,adult,30,3
4,206639,003A,adult,4,2
4,206639,004A,adult,1,1
4,206639,005A,adult,9,0
4,206639,006A,adult,3,2
4,206639,007A,adult,6,0
4,206639,008A,senior,5,1
4,206639,009A,adult,4,3
4,206639,010A,adult,3,1
4,206639,011A,senior,2,1
4,206639,012A,adult,3,3
4,206639,013B,adult,8,1
4,206639,014A,adult,3,3
4,206639,014B,kitten,10,0
4,206639,015A,senior,7,0
4,206639,016A,senior,9,2
4,206639,018A,adult,2,2
4,206639,019A,adult,17,2
4,206639,019B,adult,1,3
4,206639,020A,adult,20,3
4,206639,021A,adult,5,0
4,206639,022A,adult,9,0
4,206639,023A,adult,6,2
4,206639,023B,adult,4,3
4,206639,024A,senior,1,1
4,206639,025A,senior,10,0
4,206639,025B,adult,2,1
4,206639,025C,senior,4,3
4,206639,026A,adult,4,1
4,206639,026B,adult,1,1
4,206639,026C,adult,1,3
4,206639,027A,adult,7,2
4,206639,028A,senior,11,2
4,206639,029A,adult,15,0
4,206639,031A,adult,7,2
4,206639,032A,adult,2,3
4,206639,033A,adult,9,0
4,206639,034A,adult,3,1
4,206639,035A,adult,2,0
4,206639,036A,adult,7,0
4,206639,037A,adult,2,1
4,206639,038A,adult,2,0
4,206639,039A,senior,6,1
4,206639,040A,kitten,10,2
4,206639,041A,kitten,1,2
4,206639,042A,kitten,11,2
4,206639,043A,kitten,1,1
4,206639,044A,kitten,5,1
4,206639,045A,kitten,4,2
4,206639,046A,kitten,45,3
4,206639,047A,kitten,22,1
4,206639,048A,kitten,1,3
4,206639,050A,kitten,5,0
4,206639,051A,senior,12,2
4,206639,051B,senior,9,1
4,206639,052A,adult,2,2
4,206639,053A,senior,3,3
4,206639,054A,senior,2,3
4,206639,055A,senior,12,0
4,206639,056A,senior,3,1
4,206639,057A,senior,17,2
4,206639,058A,senior,3,3
4,206639,059A,senior,10,0
4,206639,060A,senior,3,3
4,206639,061A,senior,2,0
4,206639,062A,adult,3,1
4,206639,063A,adult,11,2
4,206639,064A,adult,1,2
4,206639,065A,adult,9,3
4,206639,066A,adult,1,1
4,206639,067A,adult,11,2
4,206639,068A,adult,8,0
4,206639,069A,adult,2,0
4,206639,070A,adult,5,2
4,206639,071A,adult,9,0
4,206639,072A,adult,9,1
4,206639,073A,adult,1,0
4,206639,074A,adult,16,0
4,206639,075A,adult,5,1
4,206639,076A,adult,1,2
4,206639,087A,adult,2,3
4,206639,088A,adult,1,1
4,206639,090A,senior,1,2
4,206639,091A,senior,1,2
4,206639,092A,adult,1,3
4,206639,093A,senior,2,3
4,206639,094A,senior,5,0
4,206639,095A,adult,7,3
4,206639,096A,adult,1,3
4,206639,097A,senior,15,2
4,206639,097B,adult,14,1
4,206639,099A,adult,6,2
4,206639,100A,adult,1,1
4,206639,101A,senior,12,3
4,206639,102A,adult,2,0
4,206639,103A,senior,33,1
4,206639,104A,senior,4,2
4,206639,105A,adult,3,0
4,206639,106A,senior,13,2
4,206639,108A,senior,5,1
4,206639,109A,kitten,5,0
4,206639,110A,kitten,1,1
4,206639,111A,kitten,12,0
4,206639,113A,senior,3,0
4,206639,115A,kitten,1,3
4,206639,116A,senior,12,3
4,206639,117A,senior,7,3
