outer_fold,cat_id,age_group,call_count,role
0,102A,adult,2,train
0,104A,senior,4,train
0,105A,adult,3,train
0,108A,senior,5,train
0,109A,kitten,5,train
0,115A,kitten,1,train
0,117A,senior,7,train
0,002B,adult,30,validation
0,004A,adult,1,validation
0,005A,adult,9,validation
0,021A,adult,5,validation
0,023B,adult,4,validation
0,026A,adult,4,validation
0,027A,adult,7,validation
0,031A,adult,7,validation
0,036A,adult,7,validation
0,054A,senior,2,validation
0,060A,senior,3,validation
0,061A,senior,2,validation
0,073A,adult,1,validation
0,090A,senior,1,validation
0,110A,kitten,1,validation
0,111A,kitten,12,validation
0,116A,senior,12,validation
1,005A,adult,9,test
1,007A,adult,6,test
1,010A,adult,3,test
1,014B,kitten,10,test
1,016A,senior,9,test
1,020A,adult,20,test
1,023B,adult,4,test
1,025A,senior,10,test
1,026B,adult,1,test
1,035A,adult,2,test
1,036A,adult,7,test
1,037A,adult,2,test
1,042A,kitten,11,test
1,045A,kitten,4,test
1,047A,kitten,22,test
1,051A,senior,12,test
1,055A,senior,12,test
1,056A,senior,3,test
1,061A,senior,2,test
1,066A,adult,1,test
1,069A,adult,2,test
1,074A,adult,16,test
1,087A,adult,2,test
1,088A,adult,1,test
1,094A,senior,5,test
1,095A,adult,7,test
1,100A,adult,1,test
1,117A,senior,7,test
1,000A,adult,39,train
1,002A,adult,13,train
1,002B,adult,30,train
1,004A,adult,1,train
1,006A,adult,3,train
1,008A,senior,5,train
1,009A,adult,4,train
1,011A,senior,2,train
1,012A,adult,3,train
1,013B,adult,8,train
1,014A,adult,3,train
1,015A,senior,7,train
1,018A,adult,2,train
1,019A,adult,17,train
1,019B,adult,1,train
1,022A,adult,9,train
1,023A,adult,6,train
1,024A,senior,1,train
1,025C,senior,4,train
1,026A,adult,4,train
1,026C,adult,1,train
1,027A,adult,7,train
1,028A,senior,11,train
1,029A,adult,15,train
1,031A,adult,7,train
1,032A,adult,2,train
1,034A,adult,3,train
1,038A,adult,2,train
1,039A,senior,6,train
1,040A,kitten,10,train
1,043A,kitten,1,train
1,044A,kitten,5,train
1,046A,kitten,45,train
1,048A,kitten,1,train
1,050A,kitten,5,train
1,051B,senior,9,train
1,052A,adult,2,train
1,053A,senior,3,train
1,054A,senior,2,train
1,057A,senior,17,train
1,058A,senior,3,train
1,059A,senior,10,train
1,060A,senior,3,train
1,062A,adult,3,train
1,063A,adult,11,train
1,064A,adult,1,train
1,070A,adult,5,train
1,071A,adult,9,train
1,072A,adult,9,train
1,075A,adult,5,train
1,076A,adult,1,train
1,092A,adult,1,train
1,093A,senior,2,train
1,096A,adult,1,train
1,097A,senior,15,train
1,097B,adult,14,train
1,101A,senior,12,train
1,102A,adult,2,train
1,104A,senior,4,train
1,105A,adult,3,train
1,106A,senior,13,train
1,108A,senior,5,train
1,109A,kitten,5,train
1,110A,kitten,1,train
1,115A,kitten,1,train
1,116A,senior,12,train
1,000B,adult,19,validation
1,001A,senior,9,validation
1,003A,adult,4,validation
1,021A,adult,5,validation
1,025B,adult,2,validation
1,033A,adult,9,validation
1,041A,kitten,1,validation
1,065A,adult,9,validation
1,067A,adult,11,validation
1,068A,adult,8,validation
1,073A,adult,1,validation
1,090A,senior,1,validation
1,091A,senior,1,validation
1,099A,adult,6,validation
1,103A,senior,33,validation
1,111A,kitten,12,validation
1,113A,senior,3,validation
2,015A,senior,7,test
2,018A,adult,2,test
2,019A,adult,17,test
2,024A,senior,1,test
2,025C,senior,4,test
2,026A,adult,4,test
2,027A,adult,7,test
2,031A,adult,7,test
2,034A,adult,3,test
2,038A,adult,2,test
2,041A,kitten,1,test
2,046A,kitten,45,test
2,051B,senior,9,test
2,058A,senior,3,test
2,059A,senior,10,test
2,062A,adult,3,test
2,064A,adult,1,test
2,065A,adult,9,test
2,067A,adult,11,test
2,072A,adult,9,test
2,073A,adult,1,test
2,097A,senior,15,test
2,097B,adult,14,test
2,105A,adult,3,test
2,108A,senior,5,test
2,109A,kitten,5,test
2,115A,kitten,1,test
2,116A,senior,12,test
2,000A,adult,39,train
2,000B,adult,19,train
2,001A,senior,9,train
2,002A,adult,13,train
2,002B,adult,30,train
2,004A,adult,1,train
2,006A,adult,3,train
2,008A,senior,5,train
2,009A,adult,4,train
2,010A,adult,3,train
2,011A,senior,2,train
2,014A,adult,3,train
2,014B,kitten,10,train
2,016A,senior,9,train
2,019B,adult,1,train
2,020A,adult,20,train
2,022A,adult,9,train
2,023A,adult,6,train
2,023B,adult,4,train
2,025A,senior,10,train
2,026B,adult,1,train
2,026C,adult,1,train
2,028A,senior,11,train
2,029A,adult,15,train
2,032A,adult,2,train
2,035A,adult,2,train
2,037A,adult,2,train
2,039A,senior,6,train
2,042A,kitten,11,train
2,044A,kitten,5,train
2,045A,kitten,4,train
2,047A,kitten,22,train
2,048A,kitten,1,train
2,050A,kitten,5,train
2,051A,senior,12,train
2,052A,adult,2,train
2,054A,senior,2,train
2,056A,senior,3,train
2,057A,senior,17,train
2,060A,senior,3,train
2,063A,adult,11,train
2,066A,adult,1,train
2,068A,adult,8,train
2,069A,adult,2,train
2,070A,adult,5,train
2,071A,adult,9,train
2,074A,adult,16,train
2,076A,adult,1,train
2,087A,adult,2,train
2,088A,adult,1,train
2,090A,senior,1,train
2,091A,senior,1,train
2,092A,adult,1,train
2,093A,senior,2,train
2,094A,senior,5,train
2,095A,adult,7,train
2,096A,adult,1,train
2,099A,adult,6,train
2,100A,adult,1,train
2,101A,senior,12,train
2,102A,adult,2,train
2,103A,senior,33,train
2,106A,senior,13,train
2,110A,kitten,1,train
2,111A,kitten,12,train
2,117A,senior,7,train
2,003A,adult,4,validation
2,005A,adult,9,validation
2,007A,adult,6,validation
2,012A,adult,3,validation
2,013B,adult,8,validation
2,021A,adult,5,validation
2,025B,adult,2,validation
2,033A,adult,9,validation
2,036A,adult,7,validation
2,040A,kitten,10,validation
2,043A,kitten,1,validation
2,053A,senior,3,validation
2,055A,senior,12,validation
2,061A,senior,2,validation
2,075A,adult,5,validation
2,104A,senior,4,validation
2,113A,senior,3,validation
3,000A,adult,39,test
3,000B,adult,19,test
3,002B,adult,30,test
3,004A,adult,1,test
3,009A,adult,4,test
3,011A,senior,2,test
3,013B,adult,8,test
3,021A,adult,5,test
3,026C,adult,1,test
3,029A,adult,15,test
3,032A,adult,2,test
3,039A,senior,6,test
3,048A,kitten,1,test
3,054A,senior,2,test
3,057A,senior,17,test
3,060A,senior,3,test
3,063A,adult,11,test
3,071A,adult,9,test
3,075A,adult,5,test
3,090A,senior,1,test
3,091A,senior,1,test
3,092A,adult,1,test
3,093A,senior,2,test
3,102A,adult,2,test
3,104A,senior,4,test
3,110A,kitten,1,test
3,111A,kitten,12,test
3,001A,senior,9,train
3,002A,adult,13,train
3,003A,adult,4,train
3,006A,adult,3,train
3,007A,adult,6,train
3,008A,senior,5,train
3,012A,adult,3,train
3,014B,kitten,10,train
3,015A,senior,7,train
3,016A,senior,9,train
3,019A,adult,17,train
3,019B,adult,1,train
3,020A,adult,20,train
3,022A,adult,9,train
3,023A,adult,6,train
3,024A,senior,1,train
3,025A,senior,10,train
3,025B,adult,2,train
3,026A,adult,4,train
3,026B,adult,1,train
3,028A,senior,11,train
3,031A,adult,7,train
3,033A,adult,9,train
3,034A,adult,3,train
3,035A,adult,2,train
3,037A,adult,2,train
3,038A,adult,2,train
3,040A,kitten,10,train
3,041A,kitten,1,train
3,042A,kitten,11,train
3,043A,kitten,1,train
3,044A,kitten,5,train
3,045A,kitten,4,train
3,047A,kitten,22,train
3,050A,kitten,5,train
3,051A,senior,12,train
3,051B,senior,9,train
3,052A,adult,2,train
3,053A,senior,3,train
3,055A,senior,12,train
3,058A,senior,3,train
3,059A,senior,10,train
3,061A,senior,2,train
3,062A,adult,3,train
3,064A,adult,1,train
3,066A,adult,1,train
3,068A,adult,8,train
3,069A,adult,2,train
3,070A,adult,5,train
3,072A,adult,9,train
3,073A,adult,1,train
3,074A,adult,16,train
3,076A,adult,1,train
3,087A,adult,2,train
3,094A,senior,5,train
3,095A,adult,7,train
3,096A,adult,1,train
3,097B,adult,14,train
3,099A,adult,6,train
3,100A,adult,1,train
3,101A,senior,12,train
3,103A,senior,33,train
3,105A,adult,3,train
3,109A,kitten,5,train
3,113A,senior,3,train
3,116A,senior,12,train
3,117A,senior,7,train
3,005A,adult,9,validation
3,010A,adult,3,validation
3,014A,adult,3,validation
3,018A,adult,2,validation
3,023B,adult,4,validation
3,025C,senior,4,validation
3,027A,adult,7,validation
3,036A,adult,7,validation
3,046A,kitten,45,validation
3,056A,senior,3,validation
3,065A,adult,9,validation
3,067A,adult,11,validation
3,088A,adult,1,validation
3,097A,senior,15,validation
3,106A,senior,13,validation
3,108A,senior,5,validation
3,115A,kitten,1,validation
